,0
0,AEP
1,ATO
2,DTE
3,ED
4,ETR
5,NEE
6,NI
7,OGE
8,WEC
9,XEL
10,AFL
11,AJG
12,AON
13,BRO
14,ECL
15,PAYX
16,CB
17,ASB
18,FNB
19,FULT
20,VLY
21,IBKC
22,CFR
23,FITB
24,HBAN
25,KEY
26,MTB
27,WFC
28,MS
29,PB
30,GS
31,WAL
32,BKH
33,SR
34,ALE
35,DRE
36,FRT
37,WELL
38,NNN
39,UDR
40,ELS
41,CPT
42,EQR
43,REG
44,SUI
45,MAA
46,ESS
47,AIV
48,O
49,KRC
50,ARE
51,BXP
52,SLG
53,AVB
54,PLD
55,PSA
56,DEI
57,HTA
58,EGP
59,EQC
60,NHI
61,PSB
62,WRI
63,HR
64,ADC
65,ROIC
66,TRNO
67,KO
68,NLY
69,CCI
70,SHO
71,RWT
72,NYMT
73,AWK
74,CMS
75,AEE
76,SO
77,WTR
78,RSG
79,WM
80,WCN
81,ACN
82,ACGL
83,CSFL
84,PNFP
85,HWC
86,ABCB
87,FHN
88,PACW
89,CMA
90,EWBC
91,CFG
92,NTRS
93,COF
94,PBCT
95,RF
96,PNM
97,NWE
98,POR
99,ACC
100,VER
101,STOR
102,WPC
103,VTR
104,INVH
105,CUBE
106,AMH
107,DOC
108,ESRT
109,FR
110,PDM
111,AAT
112,REXR
113,PG
114,AGNC
115,AMT
116,RLJ
117,CIM
118,AEF
119,ABB
120,AXDX
121,ATVI
122,ADX
123,ADMP
124,ABT
125,ACHN
126,JEQ
127,ADXS
128,IAF
129,AEGN
130,AIR
131,XLRN
132,WUBA
133,ACAD
134,ACST
135,FCO
136,VNET
137,FAX
138,JOBS
139,AGN
140,AKR
141,ACOR
142,AEY
143,TWOU
144,ATV
145,ADTN
146,SRCE
147,AEG
148,AGRO
149,AEHR
150,ABDC
151,ADT
152,ATEN
153,ALDX
154,WMS
155,AB
156,NCV
157,AMOT
158,CFFA
159,MDLY
160,SINT
161,ANTE
162,LHC
163,ALLT
164,AGEN
165,AGI
166,AWF
167,ALX
168,AGCO
169,ADS
170,NIE
171,AEZS
172,ALB
173,ALCO
174,ARNC
175,ALLY
176,MITT
177,AKRX
178,ALGN
179,ALIM
180,ATI
181,MDRX
182,ALLE
183,NFJ
184,AMRC
185,AMS
186,AU
187,AMGN
188,AMTX
189,CTLT
190,RFL
191,AOD
192,AWP
193,FOLD
194,APEI
195,AFG
196,ABEV
197,AMOV
198,UHAL
199,DOX
200,MO
201,AEO
202,AMAG
203,AMX
204,ATEC
205,CRMT
206,ASPS
207,ARL
208,AMRN
209,AMKR
210,ATAX
211,AMBA
212,IRCP
213,AMRB
214,AIF
215,ATR
216,ABIO
217,AGRX
218,CTT
219,AACG
220,AMAT
221,AINV
222,MT
223,APOG
224,ARMK
225,AMRS
226,ARCB
227,ASH
228,AXR
229,ANIP
230,ARI
231,ARDC
232,ANGO
233,ADI
234,ACRE
235,ANIK
236,AXE
237,ABR
238,APA
239,ANET
240,ANGI
241,ASMB
242,AUTO
243,APH
244,ATRO
245,AAWW
246,AIRT
247,CAT
248,GOLD
249,BELFB
250,BHR
251,AZN
252,AVNW
253,AUDC
254,AZO
255,ATRC
256,ALOT
257,AIZ
258,AZZ
259,ARW
260,ADSK
261,ARQL
262,ASA
263,ASNA
264,ABG
265,ASTC
266,T
267,AZPN
268,ASFI
269,ACP
270,BIDU
271,BSAC
272,BCPC
273,BDC
274,BCS
275,BOCH
276,BFIN
277,BMO
278,BRN
279,BV
280,GDS
281,BWFG
282,BTE
283,BMI
284,BBBY
285,BLL
286,SAN
287,BSBR
288,BKU
289,MPV
290,HNGR
291,ARWR
292,BCV
293,BBVA
294,BXS
295,BCH
296,BCE
297,BNFT
298,BOH
299,CIB
300,BGCP
301,BCOM
302,BFZ
303,BHP
304,GRBK
305,BBK
306,BPTH
307,BGFV
308,BIOS
309,BIOC
310,BIOL
311,BB
312,BKK
313,BFK
314,BAF
315,CARA
316,ADRU
317,CLTL
318,EQAL
319,BZM
320,BHV
321,TFC_P_G
322,EGF
323,CPLG
324,BYM
325,MUI
326,CII
327,BKT
328,MEN
329,BDJ
330,BTT
331,HYT
332,FRA
333,BME
334,BTZ
335,MUH
336,BIG
337,MHN
338,MUS
339,BLRX
340,MQT
341,MHD
342,MUA
343,MVT
344,MYD
345,MYF
346,MIY
347,BLKB
348,BHE
349,BCOR
350,BCOV
351,BGX
352,BRC
353,EAT
