Date,Volume,Close
14/01/2010,108223500,28.33
15/01/2010,148516900,27.86
19/01/2010,182501900,29.09
20/01/2010,153038200,28.64
21/01/2010,152038600,28.15
22/01/2010,220441900,26.75
25/01/2010,266424900,27.47
26/01/2010,466777500,27.86
27/01/2010,430642100,28.12
28/01/2010,293375600,26.96
29/01/2010,311488100,25.98
1/2/2010,187469100,26.34
2/2/2010,174585600,26.5
3/2/2010,153832000,26.95
4/2/2010,189413000,25.98
5/2/2010,212576700,26.44
8/2/2010,119567700,26.26
9/2/2010,158221700,26.54
10/2/2010,92590400,26.4
11/2/2010,137586400,26.88
12/2/2010,163867200,27.11
16/02/2010,135934400,27.52
17/02/2010,109099200,27.4
18/02/2010,105706300,27.45
19/02/2010,103867400,27.28
22/02/2010,97640900,27.11
23/02/2010,143773700,26.66
24/02/2010,115141600,27.15
25/02/2010,166281500,27.33
26/02/2010,126865200,27.68
1/3/2010,137523400,28.27
2/3/2010,141636600,28.25
3/3/2010,93013200,28.32
4/3/2010,91510300,28.51
5/3/2010,224905100,29.62
8/3/2010,107472400,29.64
9/3/2010,230064800,30.17
10/3/2010,149054500,30.42
11/3/2010,101425100,30.51
12/3/2010,104080900,30.66
15/03/2010,123375700,30.28
16/03/2010,111727000,30.36
17/03/2010,112739200,30.32
18/03/2010,85527400,30.39
19/03/2010,139861400,30.07
22/03/2010,114104900,30.4
23/03/2010,150607800,30.89
24/03/2010,149445100,31.03
25/03/2010,135571100,30.66
26/03/2010,160218800,31.24
29/03/2010,135186100,31.44
30/03/2010,131827500,31.91
31/03/2010,107664900,31.79
1/4/2010,150786300,31.92
5/4/2010,171126900,32.26
6/4/2010,111754300,32.41
7/4/2010,157125500,32.55
8/4/2010,143247300,32.46
9/4/2010,83545700,32.71
12/4/2010,83256600,32.78
13/04/2010,76552700,32.8
14/04/2010,101019100,33.24
15/04/2010,94196200,33.67
16/04/2010,187636400,33.47
19/04/2010,141731100,33.42
20/04/2010,184581600,33.09
21/04/2010,245597800,35.07
22/04/2010,198356200,36.05
23/04/2010,199238900,36.64
26/04/2010,119767200,36.46
27/04/2010,177335900,35.45
28/04/2010,189600600,35.39
29/04/2010,139710200,36.34
30/04/2010,135615900,35.32
3/5/2010,113585500,36.03
4/5/2010,180954900,34.99
5/5/2010,220775800,34.63
6/5/2010,321465200,33.31
7/5/2010,419004600,31.91
10/5/2010,246076600,34.36
11/5/2010,212226700,34.7
12/5/2010,163594900,35.46
13/05/2010,149928100,34.95
14/05/2010,189840700,34.34
17/05/2010,190708700,34.39
18/05/2010,195669600,34.14
19/05/2010,256431700,33.6
20/05/2010,320728800,32.16
21/05/2010,305972800,32.78
24/05/2010,188559700,33.38
25/05/2010,262001600,33.17
26/05/2010,212663500,33.02
27/05/2010,166570600,34.27
28/05/2010,203903700,34.75
1/6/2010,219118200,35.29
2/6/2010,172137000,35.71
3/6/2010,162526700,35.6
4/6/2010,189576100,34.63
7/6/2010,221735500,33.95
8/6/2010,250192600,33.73
9/6/2010,213657500,32.9
10/6/2010,194089000,33.89
11/6/2010,136439800,34.3
14/06/2010,150740100,34.4
15/06/2010,146268500,35.13
16/06/2010,195919500,36.15
17/06/2010,218213800,36.78
18/06/2010,196155400,37.08
21/06/2010,194122600,36.55
22/06/2010,179315500,37.05
23/06/2010,192114300,36.66
24/06/2010,178569300,36.39
25/06/2010,137485600,36.08
28/06/2010,146237000,36.3
29/06/2010,283336200,34.66
30/06/2010,184863000,34.03
1/7/2010,255724000,33.62
2/7/2010,173460700,33.41
6/7/2010,153808900,33.64
7/7/2010,163639000,34.99
8/7/2010,184536100,34.92
9/7/2010,108330600,35.12
12/7/2010,140719600,34.81
13/07/2010,297731000,34.06
14/07/2010,203011900,34.19
15/07/2010,206216500,34.02
16/07/2010,259964600,33.81
19/07/2010,256119500,33.22
20/07/2010,268737700,34.08
21/07/2010,296417800,34.39
22/07/2010,161329700,35.04
23/07/2010,133347200,35.17
26/07/2010,105137900,35.08
27/07/2010,146192900,35.73
28/07/2010,129996300,35.3
29/07/2010,160951700,34.92
30/07/2010,112052500,34.8
2/8/2010,107013900,35.42
3/8/2010,104413400,35.43
4/8/2010,105093800,35.58
5/8/2010,72274300,35.4
6/8/2010,111224400,35.19
9/8/2010,75782000,35.41
10/8/2010,112980000,35.09
11/8/2010,155013600,33.85
12/8/2010,133730100,34.06
13/08/2010,88717300,33.7
16/08/2010,79607500,33.5
17/08/2010,105660100,34.09
18/08/2010,84924000,34.24
19/08/2010,106676500,33.8
20/08/2010,96057500,33.77
23/08/2010,103510400,33.25
24/08/2010,150641400,32.46
25/08/2010,149216900,32.86
26/08/2010,116626300,32.51
27/08/2010,137097800,32.69
30/08/2010,95822300,32.81
31/08/2010,105196700,32.89
1/9/2010,174259400,33.87
2/9/2010,103856900,34.11
3/9/2010,130197200,35.01
7/9/2010,85639400,34.88
8/9/2010,131637800,35.57
9/9/2010,109643800,35.59
10/9/2010,96885600,35.63
13/09/2010,97195000,36.13
14/09/2010,102037600,36.26
15/09/2010,107342200,36.56
16/09/2010,163025800,37.42
17/09/2010,158619300,37.25
20/09/2010,164669400,38.32
21/09/2010,167018600,38.39
22/09/2010,146322400,38.93
23/09/2010,196529200,39.09
