Date,Close, Volume
1/10/2020,94.34,1452847
1/9/2020,93.88,2141864
1/8/2020,93.41,2245365
1/7/2020,93.69,2608662
1/6/2020,93.67,1253886
1/3/2020,93.36,1939441
1/2/2020,93.46,1627113
12/31/2019,94.51,1366925
12/30/2019,94.03,1544721
12/27/2019,94.19,1014365
12/26/2019,93.88,1154643
12/24/2019,93.84,440061
12/23/2019,93.75,1514761
12/20/2019,94.90,4417110
12/19/2019,93.97,2227515
12/18/2019,93.75,3237338
12/17/2019,93.22,3043378
12/16/2019,93.03,2066373
12/13/2019,92.05,2613729
12/12/2019,91.14,2053072
12/11/2019,92.15,2508674
12/10/2019,91.94,1903448
12/9/2019,91.86,1721145
12/6/2019,92.39,1379329
12/5/2019,92.46,1536480
12/4/2019,92.03,2792353
12/3/2019,90.88,2185322
12/2/2019,90.28,2342288
11/29/2019,91.35,754541
11/27/2019,91.59,1488940
11/26/2019,91.50,2946555
11/25/2019,90.89,2502757
11/22/2019,91.54,2596582
11/21/2019,91.07,1859516
11/20/2019,91.46,2136358
11/19/2019,90.67,3787737
11/18/2019,90.15,2789912
11/15/2019,89.56,3601307
11/14/2019,89.60,2668167
11/13/2019,89.86,4192239
11/12/2019,88.50,1966633
11/11/2019,88.77,2113388
11/8/2019,89.07,3016106
11/7/2019,89.34,4086751
11/6/2019,91.98,2394277
11/5/2019,91.40,2196642
11/4/2019,92.80,2983270
11/1/2019,93.56,1923946
10/31/2019,94.39,2309019
10/30/2019,94.10,1381311
10/29/2019,93.17,2068825
10/28/2019,93.37,2566366
10/25/2019,94.35,2454310
10/24/2019,95.72,2941159
10/23/2019,94.44,2379374
10/22/2019,94.15,2357570
10/21/2019,94.48,2275415
10/18/2019,94.14,2482056
10/17/2019,93.00,1914016
10/16/2019,92.60,2191613
10/15/2019,91.74,1610685
10/14/2019,92.03,1615233
10/11/2019,92.34,1821147
10/10/2019,92.61,1797210
10/9/2019,92.88,1756917
10/8/2019,92.56,2174646
10/7/2019,93.71,2328640
10/4/2019,93.61,2892898
10/3/2019,92.50,2975546
10/2/2019,92.13,3114057
10/1/2019,93.22,2946142
9/30/2019,93.69,2069888
9/27/2019,94.20,2179408
9/26/2019,94.29,3107940
9/25/2019,94.23,2376282
9/24/2019,94.59,2282367
9/23/2019,93.40,2028992
9/20/2019,93.18,3175741
9/19/2019,93.18,1264645
9/18/2019,93.02,2989766
9/17/2019,92.73,2861236
9/16/2019,91.71,2219312
9/13/2019,91.54,2014157
9/12/2019,92.02,1755683
9/11/2019,91.69,2003450
9/10/2019,91.09,3370110
9/9/2019,91.38,3278514
9/6/2019,91.09,1447889
9/5/2019,91.53,2318849
9/4/2019,93.05,1782718
9/3/2019,92.78,2043784
8/30/2019,91.15,2584678
8/29/2019,90.72,1856916
8/28/2019,89.63,4525310
8/27/2019,90.67,1339030
8/26/2019,90.83,1625522
8/23/2019,89.58,2253120
8/22/2019,90.97,1625701
8/21/2019,91.35,1332070
8/20/2019,90.77,1450436
8/19/2019,90.55,1734131
8/16/2019,90.23,2131012
8/15/2019,90.36,2874176
8/14/2019,88.48,4572266
8/13/2019,90.25,1848071
8/12/2019,90.43,1497129
8/9/2019,89.97,1597468
8/8/2019,89.51,3090546
8/7/2019,89.74,1945353
8/6/2019,89.14,2725644
8/5/2019,88.02,2944390
8/2/2019,88.70,1984322
8/1/2019,88.81,3433430
7/31/2019,87.81,2942784
7/30/2019,88.72,1691073
7/29/2019,89.74,1736306
7/26/2019,88.95,2176515
7/25/2019,89.08,2252625
7/24/2019,89.61,2008356
7/23/2019,89.51,1732331
7/22/2019,90.12,1390756
7/19/2019,90.28,1693500
7/18/2019,91.76,1338335
7/17/2019,91.02,1788772
7/16/2019,90.51,1563163
7/15/2019,91.19,1901909
7/12/2019,90.25,1368181
7/11/2019,90.93,1813705
7/10/2019,90.81,1342011
7/9/2019,90.36,1532879
7/8/2019,89.93,1233458
7/5/2019,89.84,1758525
7/3/2019,90.14,1843326
7/2/2019,89.19,2083244
7/1/2019,88.13,2060830
6/28/2019,88.01,3815665
6/27/2019,87.90,3105766
6/26/2019,88.50,2895149
6/25/2019,90.37,2446250
6/24/2019,90.90,2709650
6/21/2019,91.55,3885762
6/20/2019,90.87,2206807
6/19/2019,90.86,2393968
6/18/2019,89.78,2230103
6/17/2019,90.08,1835157
6/14/2019,90.58,1783819
6/13/2019,89.59,1794888
6/12/2019,89.39,1910858
6/11/2019,88.32,1988430
6/10/2019,89.02,1956664
6/7/2019,89.54,2274928
6/6/2019,90.00,1739596
6/5/2019,89.37,2155775
6/4/2019,87.05,1904632
6/3/2019,87.37,2216098
5/31/2019,86.12,2249973
5/30/2019,85.30,2341219
5/29/2019,85.69,2137408
5/28/2019,86.67,2650307
5/24/2019,88.29,1485024
5/23/2019,88.18,2037201
5/22/2019,87.29,1916648
5/21/2019,86.61,1768431
5/20/2019,86.60,2141961
5/17/2019,85.85,2212259
5/16/2019,85.40,1866585
5/15/2019,85.05,2169933
5/14/2019,85.56,2403091
5/13/2019,86.34,3566662
5/10/2019,84.66,2584567
5/9/2019,82.87,2452068
5/8/2019,83.73,3040280
5/7/2019,84.63,1808700
5/6/2019,84.83,1993783
5/3/2019,85.43,1323244
5/2/2019,84.70,1789560
5/1/2019,84.95,2282612
4/30/2019,85.55,2535369
