,0
0,2016-01-04
1,2016-01-05
2,2016-01-06
3,2016-01-07
4,2016-01-08
5,2016-01-11
6,2016-01-12
7,2016-01-13
8,2016-01-14
9,2016-01-15
10,2016-01-19
11,2016-01-20
12,2016-01-21
13,2016-01-22
14,2016-01-25
15,2016-01-26
16,2016-01-27
17,2016-01-28
18,2016-01-29
19,2016-02-01
20,2016-02-02
21,2016-02-03
22,2016-02-04
23,2016-02-05
24,2016-02-08
25,2016-02-09
26,2016-02-10
27,2016-02-11
28,2016-02-12
29,2016-02-16
30,2016-02-17
31,2016-02-18
32,2016-02-19
33,2016-02-22
34,2016-02-23
35,2016-02-24
36,2016-02-25
37,2016-02-26
38,2016-02-29
39,2016-03-01
40,2016-03-02
41,2016-03-03
42,2016-03-04
43,2016-03-07
44,2016-03-08
45,2016-03-09
46,2016-03-10
47,2016-03-11
48,2016-03-14
49,2016-03-15
50,2016-03-16
51,2016-03-17
52,2016-03-18
53,2016-03-21
54,2016-03-22
55,2016-03-23
56,2016-03-24
57,2016-03-28
58,2016-03-29
59,2016-03-30
60,2016-03-31
61,2016-04-01
62,2016-04-04
63,2016-04-05
64,2016-04-06
65,2016-04-07
66,2016-04-08
67,2016-04-11
68,2016-04-12
69,2016-04-13
70,2016-04-14
71,2016-04-15
72,2016-04-18
73,2016-04-19
74,2016-04-20
75,2016-04-21
76,2016-04-22
77,2016-04-25
78,2016-04-26
79,2016-04-27
80,2016-04-28
81,2016-04-29
82,2016-05-02
83,2016-05-03
84,2016-05-04
85,2016-05-05
86,2016-05-06
87,2016-05-09
88,2016-05-10
89,2016-05-11
90,2016-05-12
91,2016-05-13
92,2016-05-16
93,2016-05-17
94,2016-05-18
95,2016-05-19
96,2016-05-20
97,2016-05-23
98,2016-05-24
99,2016-05-25
100,2016-05-26
101,2016-05-27
102,2016-05-31
103,2016-06-01
104,2016-06-02
105,2016-06-03
106,2016-06-06
107,2016-06-07
108,2016-06-08
109,2016-06-09
110,2016-06-10
111,2016-06-13
112,2016-06-14
113,2016-06-15
114,2016-06-16
115,2016-06-17
116,2016-06-20
117,2016-06-21
118,2016-06-22
119,2016-06-23
120,2016-06-24
121,2016-06-27
122,2016-06-28
123,2016-06-29
124,2016-06-30
125,2016-07-01
126,2016-07-05
127,2016-07-06
128,2016-07-07
129,2016-07-08
130,2016-07-11
131,2016-07-12
132,2016-07-13
133,2016-07-14
134,2016-07-15
135,2016-07-18
136,2016-07-19
137,2016-07-20
138,2016-07-21
139,2016-07-22
140,2016-07-25
141,2016-07-26
142,2016-07-27
143,2016-07-28
144,2016-07-29
145,2016-08-01
146,2016-08-02
147,2016-08-03
148,2016-08-04
149,2016-08-05
150,2016-08-08
151,2016-08-09
152,2016-08-10
153,2016-08-11
154,2016-08-12
155,2016-08-15
156,2016-08-16
157,2016-08-17
158,2016-08-18
159,2016-08-19
160,2016-08-22
161,2016-08-23
162,2016-08-24
163,2016-08-25
164,2016-08-26
165,2016-08-29
166,2016-08-30
167,2016-08-31
168,2016-09-01
169,2016-09-02
170,2016-09-06
171,2016-09-07
172,2016-09-08
173,2016-09-09
174,2016-09-12
175,2016-09-13
176,2016-09-14
177,2016-09-15
178,2016-09-16
179,2016-09-19
180,2016-09-20
181,2016-09-21
182,2016-09-22
183,2016-09-23
184,2016-09-26
185,2016-09-27
186,2016-09-28
187,2016-09-29
188,2016-09-30
189,2016-10-03
190,2016-10-04
191,2016-10-05
192,2016-10-06
193,2016-10-07
194,2016-10-10
195,2016-10-11
196,2016-10-12
197,2016-10-13
198,2016-10-14
199,2016-10-17
200,2016-10-18
201,2016-10-19
202,2016-10-20
203,2016-10-21
204,2016-10-24
205,2016-10-25
206,2016-10-26
207,2016-10-27
208,2016-10-28
209,2016-10-31
210,2016-11-01
211,2016-11-02
212,2016-11-03
213,2016-11-04
214,2016-11-07
215,2016-11-08
216,2016-11-09
217,2016-11-10
218,2016-11-11
219,2016-11-14
220,2016-11-15
221,2016-11-16
222,2016-11-17
223,2016-11-18
224,2016-11-21
225,2016-11-22
226,2016-11-23
227,2016-11-25
228,2016-11-28
229,2016-11-29
230,2016-11-30
231,2016-12-01
232,2016-12-02
233,2016-12-05
234,2016-12-06
235,2016-12-07
236,2016-12-08
237,2016-12-09
238,2016-12-12
239,2016-12-13
240,2016-12-14
241,2016-12-15
242,2016-12-16
243,2016-12-19
244,2016-12-20
245,2016-12-21
246,2016-12-22
247,2016-12-23
248,2016-12-27
249,2016-12-28
250,2016-12-29
251,2016-12-30
252,2017-01-03
253,2017-01-04
254,2017-01-05
255,2017-01-06
256,2017-01-09
257,2017-01-10
258,2017-01-11
259,2017-01-12
260,2017-01-13
261,2017-01-17
262,2017-01-18
263,2017-01-19
264,2017-01-20
265,2017-01-23
266,2017-01-24
267,2017-01-25
268,2017-01-26
269,2017-01-27
270,2017-01-30
271,2017-01-31
272,2017-02-01
273,2017-02-02
274,2017-02-03
275,2017-02-06
276,2017-02-07
277,2017-02-08
278,2017-02-09
279,2017-02-10
280,2017-02-13
281,2017-02-14
282,2017-02-15
283,2017-02-16
284,2017-02-17
285,2017-02-21
286,2017-02-22
287,2017-02-23
288,2017-02-24
289,2017-02-27
290,2017-02-28
291,2017-03-01
292,2017-03-02
293,2017-03-03
294,2017-03-06
295,2017-03-07
296,2017-03-08
297,2017-03-09
298,2017-03-10
299,2017-03-13
300,2017-03-14
301,2017-03-15
302,2017-03-16
303,2017-03-17
304,2017-03-20
305,2017-03-21
306,2017-03-22
307,2017-03-23
308,2017-03-24
309,2017-03-27
310,2017-03-28
311,2017-03-29
312,2017-03-30
313,2017-03-31
314,2017-04-03
315,2017-04-04
316,2017-04-05
317,2017-04-06
318,2017-04-07
319,2017-04-10
320,2017-04-11
321,2017-04-12
322,2017-04-13
323,2017-04-17
324,2017-04-18
325,2017-04-19
326,2017-04-20
327,2017-04-21
328,2017-04-24
329,2017-04-25
330,2017-04-26
331,2017-04-27
332,2017-04-28
333,2017-05-01
334,2017-05-02
335,2017-05-03
336,2017-05-04
337,2017-05-05
338,2017-05-08
339,2017-05-09
340,2017-05-10
341,2017-05-11
342,2017-05-12
343,2017-05-15
344,2017-05-16
345,2017-05-17
346,2017-05-18
347,2017-05-19
348,2017-05-22
349,2017-05-23
350,2017-05-24
351,2017-05-25
352,2017-05-26
353,2017-05-30
354,2017-05-31
355,2017-06-01
356,2017-06-02
357,2017-06-05
358,2017-06-06
359,2017-06-07
360,2017-06-08
361,2017-06-09
362,2017-06-12
363,2017-06-13
364,2017-06-14
365,2017-06-15
366,2017-06-16
367,2017-06-19
368,2017-06-20
369,2017-06-21
370,2017-06-22
371,2017-06-23
372,2017-06-26
373,2017-06-27
374,2017-06-28
375,2017-06-29
376,2017-06-30
377,2017-07-03
378,2017-07-05
379,2017-07-06
380,2017-07-07
381,2017-07-10
382,2017-07-11
383,2017-07-12
384,2017-07-13
385,2017-07-14
386,2017-07-17
387,2017-07-18
388,2017-07-19
389,2017-07-20
390,2017-07-21
391,2017-07-24
392,2017-07-25
393,2017-07-26
394,2017-07-27
395,2017-07-28
396,2017-07-31
397,2017-08-01
398,2017-08-02
399,2017-08-03
400,2017-08-04
401,2017-08-07
402,2017-08-08
403,2017-08-09
404,2017-08-10
405,2017-08-11
406,2017-08-14
407,2017-08-15
408,2017-08-16
409,2017-08-17
410,2017-08-18
411,2017-08-21
412,2017-08-22
413,2017-08-23
414,2017-08-24
415,2017-08-25
416,2017-08-28
417,2017-08-29
418,2017-08-30
419,2017-08-31
420,2017-09-01
421,2017-09-05
422,2017-09-06
423,2017-09-07
424,2017-09-08
425,2017-09-11
426,2017-09-12
427,2017-09-13
428,2017-09-14
429,2017-09-15
430,2017-09-18
431,2017-09-19
432,2017-09-20
433,2017-09-21
434,2017-09-22
435,2017-09-25
436,2017-09-26
437,2017-09-27
438,2017-09-28
439,2017-09-29
440,2017-10-02
441,2017-10-03
442,2017-10-04
443,2017-10-05
444,2017-10-06
445,2017-10-09
446,2017-10-10
447,2017-10-11
448,2017-10-12
449,2017-10-13
450,2017-10-16
451,2017-10-17
452,2017-10-18
453,2017-10-19
454,2017-10-20
455,2017-10-23
456,2017-10-24
457,2017-10-25
458,2017-10-26
459,2017-10-27
460,2017-10-30
461,2017-10-31
462,2017-11-01
463,2017-11-02
464,2017-11-03
465,2017-11-06
466,2017-11-07
467,2017-11-08
468,2017-11-09
469,2017-11-10
470,2017-11-13
471,2017-11-14
472,2017-11-15
473,2017-11-16
474,2017-11-17
475,2017-11-20
476,2017-11-21
477,2017-11-22
478,2017-11-24
479,2017-11-27
480,2017-11-28
481,2017-11-29
482,2017-11-30
483,2017-12-01
484,2017-12-04
485,2017-12-05
486,2017-12-06
487,2017-12-07
488,2017-12-08
489,2017-12-11
490,2017-12-12
491,2017-12-13
492,2017-12-14
493,2017-12-15
494,2017-12-18
495,2017-12-19
496,2017-12-20
497,2017-12-21
498,2017-12-22
499,2017-12-26
500,2017-12-27
501,2017-12-28
502,2017-12-29
503,2018-01-02
504,2018-01-03
505,2018-01-04
506,2018-01-05
507,2018-01-08
508,2018-01-09
509,2018-01-10
510,2018-01-11
511,2018-01-12
512,2018-01-16
513,2018-01-17
514,2018-01-18
515,2018-01-19
516,2018-01-22
517,2018-01-23
518,2018-01-24
519,2018-01-25
520,2018-01-26
521,2018-01-29
522,2018-01-30
523,2018-01-31
524,2018-02-01
525,2018-02-02
526,2018-02-05
527,2018-02-06
528,2018-02-07
529,2018-02-08
530,2018-02-09
531,2018-02-12
532,2018-02-13
533,2018-02-14
534,2018-02-15
535,2018-02-16
536,2018-02-20
537,2018-02-21
538,2018-02-22
539,2018-02-23
540,2018-02-26
541,2018-02-27
542,2018-02-28
543,2018-03-01
544,2018-03-02
545,2018-03-05
546,2018-03-06
547,2018-03-07
548,2018-03-08
549,2018-03-09
550,2018-03-12
551,2018-03-13
552,2018-03-14
553,2018-03-15
554,2018-03-16
555,2018-03-19
556,2018-03-20
557,2018-03-21
558,2018-03-22
559,2018-03-23
560,2018-03-26
561,2018-03-27
562,2018-03-28
563,2018-03-29
564,2018-04-02
565,2018-04-03
566,2018-04-04
567,2018-04-05
568,2018-04-06
569,2018-04-09
570,2018-04-10
571,2018-04-11
572,2018-04-12
573,2018-04-13
574,2018-04-16
575,2018-04-17
576,2018-04-18
577,2018-04-19
578,2018-04-20
579,2018-04-23
580,2018-04-24
581,2018-04-25
582,2018-04-26
583,2018-04-27
584,2018-04-30
585,2018-05-01
586,2018-05-02
587,2018-05-03
588,2018-05-04
589,2018-05-07
590,2018-05-08
591,2018-05-09
592,2018-05-10
593,2018-05-11
594,2018-05-14
595,2018-05-15
596,2018-05-16
597,2018-05-17
598,2018-05-18
599,2018-05-21
600,2018-05-22
601,2018-05-23
602,2018-05-24
603,2018-05-25
604,2018-05-29
605,2018-05-30
606,2018-05-31
607,2018-06-01
608,2018-06-04
609,2018-06-05
610,2018-06-06
611,2018-06-07
612,2018-06-08
613,2018-06-11
614,2018-06-12
615,2018-06-13
616,2018-06-14
617,2018-06-15
618,2018-06-18
619,2018-06-19
620,2018-06-20
621,2018-06-21
622,2018-06-22
623,2018-06-25
624,2018-06-26
625,2018-06-27
626,2018-06-28
627,2018-06-29
628,2018-07-02
629,2018-07-03
630,2018-07-05
631,2018-07-06
632,2018-07-09
633,2018-07-10
634,2018-07-11
635,2018-07-12
636,2018-07-13
637,2018-07-16
638,2018-07-17
639,2018-07-18
640,2018-07-19
641,2018-07-20
642,2018-07-23
643,2018-07-24
644,2018-07-25
645,2018-07-26
646,2018-07-27
647,2018-07-30
648,2018-07-31
649,2018-08-01
650,2018-08-02
651,2018-08-03
652,2018-08-06
653,2018-08-07
654,2018-08-08
655,2018-08-09
656,2018-08-10
657,2018-08-13
658,2018-08-14
659,2018-08-15
660,2018-08-16
661,2018-08-17
662,2018-08-20
663,2018-08-21
664,2018-08-22
665,2018-08-23
666,2018-08-24
667,2018-08-27
668,2018-08-28
669,2018-08-29
670,2018-08-30
671,2018-08-31
672,2018-09-04
673,2018-09-05
674,2018-09-06
675,2018-09-07
676,2018-09-10
677,2018-09-11
678,2018-09-12
679,2018-09-13
680,2018-09-14
681,2018-09-17
682,2018-09-18
683,2018-09-19
684,2018-09-20
685,2018-09-21
686,2018-09-24
687,2018-09-25
688,2018-09-26
689,2018-09-27
690,2018-09-28
691,2018-10-01
692,2018-10-02
693,2018-10-03
694,2018-10-04
695,2018-10-05
696,2018-10-08
697,2018-10-09
698,2018-10-10
699,2018-10-11
700,2018-10-12
701,2018-10-15
702,2018-10-16
703,2018-10-17
704,2018-10-18
705,2018-10-19
706,2018-10-22
707,2018-10-23
708,2018-10-24
709,2018-10-25
710,2018-10-26
711,2018-10-29
712,2018-10-30
713,2018-10-31
714,2018-11-01
715,2018-11-02
716,2018-11-05
717,2018-11-06
718,2018-11-07
719,2018-11-08
720,2018-11-09
721,2018-11-12
722,2018-11-13
723,2018-11-14
724,2018-11-15
725,2018-11-16
726,2018-11-19
727,2018-11-20
728,2018-11-21
729,2018-11-23
730,2018-11-26
731,2018-11-27
732,2018-11-28
733,2018-11-29
734,2018-11-30
735,2018-12-03
736,2018-12-04
737,2018-12-06
738,2018-12-07
739,2018-12-10
740,2018-12-11
741,2018-12-12
742,2018-12-13
743,2018-12-14
744,2018-12-17
745,2018-12-18
746,2018-12-19
747,2018-12-20
748,2018-12-21
749,2018-12-24
750,2018-12-26
751,2018-12-27
752,2018-12-28
753,2018-12-31
754,2019-01-02
755,2019-01-03
756,2019-01-04
757,2019-01-07
758,2019-01-08
759,2019-01-09
760,2019-01-10
761,2019-01-11
762,2019-01-14
763,2019-01-15
764,2019-01-16
765,2019-01-17
766,2019-01-18
767,2019-01-22
768,2019-01-23
769,2019-01-24
770,2019-01-25
771,2019-01-28
772,2019-01-29
773,2019-01-30
774,2019-01-31
775,2019-02-01
776,2019-02-04
777,2019-02-05
778,2019-02-06
779,2019-02-07
780,2019-02-08
781,2019-02-11
782,2019-02-12
783,2019-02-13
784,2019-02-14
785,2019-02-15
786,2019-02-19
787,2019-02-20
788,2019-02-21
789,2019-02-22
790,2019-02-25
791,2019-02-26
792,2019-02-27
793,2019-02-28
794,2019-03-01
795,2019-03-04
796,2019-03-05
797,2019-03-06
798,2019-03-07
799,2019-03-08
800,2019-03-11
801,2019-03-12
802,2019-03-13
803,2019-03-14
804,2019-03-15
805,2019-03-18
806,2019-03-19
807,2019-03-20
808,2019-03-21
809,2019-03-22
810,2019-03-25
811,2019-03-26
812,2019-03-27
813,2019-03-28
814,2019-03-29
815,2019-04-01
816,2019-04-02
817,2019-04-03
818,2019-04-04
819,2019-04-05
820,2019-04-08
821,2019-04-09
822,2019-04-10
823,2019-04-11
824,2019-04-12
825,2019-04-15
826,2019-04-16
